rmse,pearson,spearman,ci,f1,average_AUC,id
1.2821,0.4052,0.3757,0.6437,0.2041,0.6676,syn17053881
1.5398,0.0474,0.0536,0.5197,0.0584,0.5252,syn17053882
1.6139,-0.0194,0.0137,0.505,0.2165,0.493,syn17053883
1.5624,0.124,0.1345,0.5512,0.2917,0.5679,syn17053884
1.551,-0.0139,0.0681,0.5257,0.4,0.5302,syn17053885
1.559,0.0713,0.0401,0.5156,0.0758,0.5228,syn17053886
1.1794,0.259,0.2422,0.5896,0.2209,0.6306,syn17053887
1.2058,0.2153,0.2302,0.5863,0.1928,0.6131,syn17053888
1.1795,0.3458,0.3529,0.6297,0.2133,0.6851,syn17053889
1.2175,0.2372,0.3344,0.622,0.0317,0.6608,syn17053890
1.5347,-0.0183,-0.0005,0.4994,0.0147,0.4819,syn17053891
1.8667,-0.0846,-0.0632,0.477,0.1104,0.4781,syn17053892
1.9102,-0.1047,-0.1554,0.442,0.186,0.4129,syn17053893
1.2525,0.5363,0.5353,0.7057,0.3205,0.7636,syn17053894
1.2188,0.313,0.3297,0.6225,0.381,0.6528,syn17053895
1.3309,0.4011,0.3968,0.6485,0.2857,0.6883,syn17053896
1.1036,0.4973,0.4687,0.6793,0.4249,0.7539,syn17053897
1.3691,0.0877,0.0895,0.5322,0.3309,0.5583,syn17053898
1.378,0.0064,0.0376,0.5142,0.3298,0.5314,syn17053899
1.3934,0.0958,0.1005,0.5363,0.3709,0.5603,syn17053900
1.4137,0.3429,0.3025,0.6148,0.1314,0.6672,syn17053901
1.1639,0.3105,0.2876,0.609,0.3936,0.6465,syn17053902
1.1243,0.4752,0.452,0.6711,0.4412,0.7424,syn17053903
9.6693,-0.0008,0.0059,0.5025,0.0,0.4875,syn17053904
1.1816,0.2012,0.1898,0.5712,0.1194,0.579,syn17053905
1.3187,0.2018,0.2255,0.5845,0.3014,0.6287,syn17053906
1.125,0.5442,0.5523,0.711,0.4681,0.7975,syn17053907
1.192,0.4935,0.4958,0.6896,0.4246,0.7484,syn17053908
1.3529,0.2928,0.2952,0.6103,0.016,0.6338,syn17053909
1.2502,0.1409,0.114,0.5419,0.0993,0.5749,syn17053910
1.5116,0.0937,0.1092,0.5389,0.0292,0.5253,syn17053911
1.3332,0.1954,0.1691,0.5626,0.3023,0.5945,syn17053912
1.4379,0.1582,0.143,0.5543,0.2234,0.6048,syn17053913
1.533,0.0973,0.1093,0.5414,0.08,0.5479,syn17053914
1.6494,0.3122,0.323,0.6206,0.4254,0.6713,syn17053915
2.298,0.0,,0.5,0.4448,0.5,syn17053916
1.2428,-0.0,,0.5,0.0,0.5,syn17053917
29.2535,0.0206,0.0274,0.51,0.4448,0.5125,syn17053918
1.2428,-0.0,,0.5,0.0,0.5,syn17053919
2.9071,0.1098,0.0806,0.5302,0.3951,0.5468,syn17053920
1.5978,0.2043,0.1555,0.5588,0.063,0.5832,syn17053921
1.3569,0.133,0.1129,0.5429,0.3102,0.5632,syn17053922
1.7494,-0.0061,-0.0506,0.4817,0.2914,0.4816,syn17053923
9.9595,0.2527,0.2933,0.6089,0.0,0.6243,syn17053924
1.3909,0.293,0.2933,0.6101,0.4397,0.6493,syn17053925
1.2072,0.3547,0.3192,0.621,0.4131,0.6752,syn17053926
1.3339,0.0322,0.0353,0.5145,0.2233,0.5344,syn17053927
1.4237,0.1639,0.1634,0.562,0.4639,0.6142,syn17053928
1.223,0.2158,0.18,0.5669,0.3318,0.6106,syn17053929
1.2977,0.3077,0.2804,0.6041,0.3839,0.6545,syn17053930
1.2572,0.4115,0.348,0.6305,0.2781,0.7094,syn17053931
1.4876,0.1974,0.1562,0.559,0.3451,0.5944,syn17053932
1.2389,0.2189,0.1934,0.5711,0.2941,0.6168,syn17053933
1.1451,0.3489,0.3413,0.6279,0.3392,0.6784,syn17053934
1.0734,0.5363,0.5353,0.7057,0.5569,0.7636,syn17053935
1.2154,0.3534,0.3264,0.6235,0.4299,0.6789,syn17053936
1.6579,0.0746,0.0982,0.5365,0.3412,0.5617,syn17053939
1.2672,0.3275,0.3321,0.6262,0.4608,0.6766,syn17053941
1.1574,0.3092,0.309,0.6154,0.25,0.661,syn17053942
1.5503,0.0571,0.0616,0.5232,0.3276,0.5195,syn17053943
1.8544,-0.1057,-0.1015,0.4611,0.3454,0.4381,syn17053944
1.3943,0.0915,0.0685,0.5248,0.1135,0.5531,syn17053945
1.3883,0.1933,0.1791,0.5676,0.2927,0.5911,syn17053946
1.2566,0.3727,0.3468,0.6302,0.0902,0.7049,syn17053947
1.2052,0.3594,0.3409,0.6307,0.4645,0.6871,syn17053948
1.5047,0.1894,0.1657,0.5629,0.4379,0.5773,syn17053949
1.0971,0.4557,0.4273,0.6623,0.404,0.7404,syn17053950
1.3456,0.2644,0.2634,0.5982,0.4481,0.6666,syn17053951
1.1686,0.4996,0.4835,0.6833,0.4286,0.7584,syn17053952
1.1836,0.2646,0.2779,0.603,0.3158,0.6534,syn17053953
1.199,0.5442,0.5523,0.711,0.5875,0.7975,syn17053954
1.4191,0.0717,0.0972,0.5355,0.1379,0.5713,syn17053955
411.0983,0.1041,0.0396,0.5164,0.4448,0.5472,syn17053956
4.4784,0.008,0.0075,0.5022,0.4448,0.502,syn17053957
1.687,0.0389,0.0331,0.513,0.0758,0.5001,syn17053958
1.1867,0.5152,0.4852,0.6843,0.5804,0.7671,syn17053959
1.5708,-0.1026,-0.1179,0.4561,0.1446,0.4513,syn17053960
1.287,0.1165,0.1382,0.5514,0.4184,0.6025,syn17053961
1.347,-0.0455,-0.0348,0.4872,0.1618,0.457,syn17053962
1.4056,0.3203,0.3576,0.6342,0.0775,0.6429,syn17053963
1.4941,0.0489,0.0724,0.5274,0.2095,0.5345,syn17053964
1.3318,0.3573,0.3059,0.6147,0.2297,0.6671,syn17053965
1.3722,0.1345,0.0976,0.5356,0.3764,0.5668,syn17053966
1.359,0.3329,0.3212,0.6202,0.4595,0.6673,syn17053967
1.2072,0.2999,0.2436,0.5908,0.4375,0.6331,syn17053968
