"ROW_ID"	"ROW_VERSION"	"objectId"	"userId"	"teamId"	"rmse"	"pearson"	"spearman"	"f1"	"ci"	"average_AUC"
"0"	"0"	"9681691"	"3377549"	"3379336"	"1.2821"	"0.4052"	"0.3757"	"0.2041"	"0.6437"	"0.6676"
"1"	"0"	"9681712"	"3379393"		"1.5398"	"0.0474"	"0.0536"	"0.0584"	"0.5197"	"0.5252"
"2"	"0"	"9681729"	"3379393"		"1.6139"	"-0.0194"	"0.0137"	"0.2165"	"0.505"	"0.493"
"3"	"0"	"9681730"	"3379393"		"1.5624"	"0.124"	"0.1345"	"0.2917"	"0.5512"	"0.5679"
"4"	"0"	"9681768"	"3378959"	"3361565"	"1.551"	"-0.0139"	"0.0681"	"0.4"	"0.5257"	"0.5302"
"5"	"0"	"9681790"	"3379434"		"1.559"	"0.0713"	"0.0401"	"0.0758"	"0.5156"	"0.5228"
"6"	"0"	"9681793"	"3379434"		"1.1794"	"0.259"	"0.2422"	"0.2209"	"0.5896"	"0.6306"
"7"	"0"	"9681806"	"3379434"		"1.2058"	"0.2153"	"0.2302"	"0.1928"	"0.5863"	"0.6131"
"8"	"0"	"9681826"	"1967407"	"3343575"	"1.1795"	"0.3458"	"0.3529"	"0.2133"	"0.6297"	"0.6851"
"9"	"0"	"9681836"	"1967407"	"3343575"	"1.2175"	"0.2372"	"0.3344"	"0.0317"	"0.622"	"0.6608"
"10"	"0"	"9681850"	"3379678"		"1.5347"	"-0.0183"	"-0.0005"	"0.0147"	"0.4994"	"0.4819"
"11"	"0"	"9681854"	"3379678"		"1.8667"	"-0.0846"	"-0.0632"	"0.1104"	"0.477"	"0.4781"
"12"	"0"	"9681864"	"3379678"		"1.9102"	"-0.1047"	"-0.1554"	"0.186"	"0.442"	"0.4129"
"13"	"0"	"9681917"	"3321508"	"3332429"	"1.2525"	"0.5363"	"0.5353"	"0.3205"	"0.7057"	"0.7636"
"14"	"0"	"9681982"	"3368024"		"1.2188"	"0.313"	"0.3297"	"0.381"	"0.6225"	"0.6528"
"15"	"0"	"9681991"	"3368024"		"1.3309"	"0.4011"	"0.3968"	"0.2857"	"0.6485"	"0.6883"
"16"	"0"	"9681992"	"1967585"	"3379017"	"1.1036"	"0.4973"	"0.4687"	"0.4249"	"0.6793"	"0.7539"
"17"	"0"	"9682005"	"3366764"		"1.3691"	"0.0877"	"0.0895"	"0.3309"	"0.5322"	"0.5583"
"18"	"0"	"9682006"	"3366764"		"1.378"	"0.0064"	"0.0376"	"0.3298"	"0.5142"	"0.5314"
"19"	"0"	"9682007"	"3366764"		"1.3934"	"0.0958"	"0.1005"	"0.3709"	"0.5363"	"0.5603"
"20"	"0"	"9682045"	"3321443"	"3378782"	"1.4137"	"0.3429"	"0.3025"	"0.1314"	"0.6148"	"0.6672"
"21"	"0"	"9682047"	"3321338"		"1.1639"	"0.3105"	"0.2876"	"0.3936"	"0.609"	"0.6465"
"22"	"0"	"9682049"	"1967585"	"3379017"	"1.1243"	"0.4752"	"0.452"	"0.4412"	"0.6711"	"0.7424"
"23"	"0"	"9682086"	"3378928"		"9.6693"	"-0.0008"	"0.0059"	"0"	"0.5025"	"0.4875"
"24"	"0"	"9682269"	"3379229"	"3379235"	"1.1816"	"0.2012"	"0.1898"	"0.1194"	"0.5712"	"0.579"
"25"	"0"	"9682320"	"3365527"		"1.3187"	"0.2018"	"0.2255"	"0.3014"	"0.5845"	"0.6287"
"26"	"0"	"9682503"	"3321338"		"1.125"	"0.5442"	"0.5523"	"0.4681"	"0.711"	"0.7975"
"27"	"0"	"9682510"	"3321508"	"3332429"	"1.192"	"0.4935"	"0.4958"	"0.4246"	"0.6896"	"0.7484"
"28"	"0"	"9682516"	"3379965"		"1.3529"	"0.2928"	"0.2952"	"0.016"	"0.6103"	"0.6338"
"29"	"0"	"9682517"	"3379965"		"1.2502"	"0.1409"	"0.114"	"0.0993"	"0.5419"	"0.5749"
"30"	"0"	"9682526"	"3336728"	"3377646"	"1.5116"	"0.0937"	"0.1092"	"0.0292"	"0.5389"	"0.5253"
"31"	"0"	"9682538"	"3380306"		"1.3332"	"0.1954"	"0.1691"	"0.3023"	"0.5626"	"0.5945"
"32"	"0"	"9682567"	"3365527"		"1.4379"	"0.1582"	"0.143"	"0.2234"	"0.5543"	"0.6048"
"33"	"0"	"9682568"	"3379677"		"1.533"	"0.0973"	"0.1105"	"0.08"	"0.5414"	"0.5483"
"34"	"0"	"9682579"	"3319559"		"1.6494"	"0.3122"	"0.323"	"0.4254"	"0.6206"	"0.6713"
"35"	"0"	"9682584"	"1946958"		"2.298"	"0"		"0.4448"	"0.5"	"0.5"
"36"	"0"	"9682585"	"1946958"		"1.2428"	"0"		"0"	"0.5"	"0.5"
"37"	"0"	"9682586"	"3378816"		"29.2535"	"0.0206"	"0.0274"	"0.4448"	"0.51"	"0.5125"
"38"	"0"	"9682587"	"1946958"		"1.2428"	"0"		"0"	"0.5"	"0.5"
"39"	"0"	"9682609"	"3380306"		"2.9071"	"0.1098"	"0.0806"	"0.3951"	"0.5302"	"0.5468"
"40"	"0"	"9682610"	"3380306"		"1.5978"	"0.2043"	"0.1555"	"0.063"	"0.5588"	"0.5832"
"41"	"0"	"9682611"	"3379179"		"1.3569"	"0.133"	"0.1129"	"0.3102"	"0.5429"	"0.5632"
"42"	"0"	"9682612"	"3379179"		"1.7494"	"-0.0061"	"-0.0506"	"0.2914"	"0.4817"	"0.4816"
"43"	"0"	"9682633"	"3345606"	"3379198"	"9.9595"	"0.2527"	"0.2933"	"0"	"0.6089"	"0.6243"
"44"	"0"	"9682641"	"1967407"	"3343575"	"1.3909"	"0.293"	"0.2933"	"0.4397"	"0.6101"	"0.6493"
"45"	"0"	"9682643"	"3380541"		"1.2072"	"0.3547"	"0.3192"	"0.4131"	"0.621"	"0.6752"
"46"	"0"	"9682650"	"3323762"	"3378762"	"1.3339"	"0.0322"	"0.0353"	"0.2233"	"0.5145"	"0.5344"
"47"	"0"	"9682651"	"3380588"		"1.4237"	"0.1639"	"0.1634"	"0.4639"	"0.562"	"0.6142"
"48"	"0"	"9682653"	"3380588"		"1.223"	"0.2158"	"0.18"	"0.3318"	"0.5669"	"0.6106"
"49"	"0"	"9682655"	"3329042"		"1.2977"	"0.3077"	"0.2804"	"0.3839"	"0.6041"	"0.6545"
"50"	"0"	"9682658"	"3379973"	"3379977"	"1.2572"	"0.4115"	"0.348"	"0.2781"	"0.6305"	"0.7094"
"51"	"0"	"9682659"	"3325229"		"1.4876"	"0.1974"	"0.1562"	"0.3451"	"0.559"	"0.5944"
"52"	"0"	"9682660"	"3378959"	"3361565"	"1.2389"	"0.2189"	"0.1934"	"0.2941"	"0.5711"	"0.6168"
"53"	"0"	"9682665"	"3378631"		"1.1451"	"0.3489"	"0.3413"	"0.3392"	"0.6279"	"0.6784"
"54"	"0"	"9682667"	"3333779"		"1.0734"	"0.5363"	"0.5353"	"0.5569"	"0.7057"	"0.7636"
