createdOn,name,objectId,submitterId,teamId,userId
1539884990308,PlosCB baseline,9681691,3379336,3379336,3377549
1539998153719,eval_results.csv,9681712,3379393,,3379393
1540345917879,E9_I40_eval_results.csv,9681729,3379393,,3379393
1540390760816,E39_B720_eval_results.csv,9681730,3379393,,3379393
1540474931578,N121_IDG_1025,9681768,3361565,3361565,3378959
1540584735478,round_1_template.csv,9681790,3379434,,3379434
1540589348785,test,9681793,3379434,,3379434
1540655816695,round_1_template.csv,9681806,3379434,,3379434
1540745551197,MCIC,9681826,3343575,3343575,1967407
1540829536799,round_1_template.csv,9681836,3343575,3343575,1967407
1540865516883,average_results.csv,9681850,3379678,,3379678
1540879789334,Ridge_All0_eval_results.csv,9681854,3379678,,3379678
1540886987334,average_results_PFS3284.csv,9681864,3379678,,3379678
1540953246764,round_1_template_predictions.csv,9681917,3332429,3332429,3321508
1541093132160,round_1_submission.csv,9681982,3368024,,3368024
1541105603267,1534783153.7716007,9681991,3368024,,3368024
1541110341658,Jack Skellington,9681992,3379017,3379017,1967585
1541150127218,first,9682005,3366764,,3366764
1541154015903,second_epoch5,9682006,3366764,,3366764
1541154927444,e54,9682007,3366764,,3366764
1541236641991,syn15667962 baseline,9682045,3378782,3378782,3321443
1541239539779,submit1.csv,9682047,3321338,,3321338
1541247242012,Sally Finkelstein,9682049,3379017,3379017,1967585
1541358517704,round_1.csv,9682086,3378928,,3378928
1541455450999,"ensembler(numLearners = 20, bag = F, r = 0.7, baseLearner = 'rls_kron', lambda = 0.125)",9682269,3379235,3379235,3379229
1541473621296,Baseline,9682320,3365527,,3365527
1541515661659,submit2.csv,9682503,3321338,,3321338
1541543276346,v2,9682510,3332429,3332429,3321508
1541573313032,round_1_template.csv,9682516,3379965,,3379965
1541589931930,round_1_template_2.csv,9682517,3379965,,3379965
1541641026318,round_1_template.csv,9682526,3377646,3377646,3336728
1541687134838,round_1_template(4).csv,9682538,3380306,,3380306
1541741795733,correct baseline,9682567,3365527,,3365527
1541743488513,average_results_my_kernel.csv,9682568,3379677,,3379677
1541782260729,baseline,9682579,3319559,,3319559
1541791039604,round_1_template_2.csv,9682584,1946958,,1946958
1541791830342,round_1_template_3.csv,9682585,1946958,,1946958
1541794414854,predictions.csv,9682586,3378816,,3378816
1541794965883,round_1_template_3.csv,9682587,1946958,,1946958
1541834215820,sss.csv,9682609,3380306,,3380306
1541840334918,sss(2).csv,9682610,3380306,,3380306
1541845467341,round_1_predictions.csv,9682611,3379179,,3379179
1541873277661,round_1_predictions_training_set_only.csv,9682612,3379179,,3379179
1541910752006,Topologicaltrain_SVR.csv,9682633,3379198,3379198,3345606
1541979273159,MCIC,9682641,3343575,3343575,1967407
1541990853517,submission.csv,9682643,3380541,,3380541
1541999280062,epm-13,9682650,3378762,3378762,3323762
