Compound_SMILES,Compound_InchiKeys,Compound_Name,UniProt_Id,Entrez_Gene_Symbol,DiscoveRx_Gene_Symbol,rmse_mean_ensemble_54,rmse_mean_ensemble_53,rmse_mean_ensemble_52,rmse_mean_ensemble_51,rmse_mean_ensemble_50,rmse_mean_ensemble_49,rmse_mean_ensemble_48,rmse_mean_ensemble_47,rmse_mean_ensemble_46,rmse_mean_ensemble_45,rmse_mean_ensemble_44,rmse_mean_ensemble_43,rmse_mean_ensemble_42,rmse_mean_ensemble_41,rmse_mean_ensemble_40,rmse_mean_ensemble_39,rmse_mean_ensemble_38,rmse_mean_ensemble_37,rmse_mean_ensemble_36,rmse_mean_ensemble_35,rmse_mean_ensemble_34,rmse_mean_ensemble_33,rmse_mean_ensemble_32,rmse_mean_ensemble_31,rmse_mean_ensemble_30,rmse_mean_ensemble_29,rmse_mean_ensemble_28,rmse_mean_ensemble_27,rmse_mean_ensemble_26,rmse_mean_ensemble_25,rmse_mean_ensemble_24,rmse_mean_ensemble_23,rmse_mean_ensemble_22,rmse_mean_ensemble_21,rmse_mean_ensemble_20,rmse_mean_ensemble_19,rmse_mean_ensemble_18,rmse_mean_ensemble_17,rmse_mean_ensemble_16,rmse_mean_ensemble_15,rmse_mean_ensemble_14,rmse_mean_ensemble_13,rmse_mean_ensemble_12,rmse_mean_ensemble_11,rmse_mean_ensemble_10,rmse_mean_ensemble_9,rmse_mean_ensemble_8,rmse_mean_ensemble_7,rmse_mean_ensemble_6,rmse_mean_ensemble_5,rmse_mean_ensemble_4,rmse_mean_ensemble_3,rmse_mean_ensemble_2,rmse_mean_ensemble_1
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O00444,PLK4,PLK4,23.632049577162785,6.923821254150028,7.061566106069334,6.9971864806981445,7.087500489109665,7.077041315418025,7.090748569239235,7.094941991989005,7.12767623964094,7.163795096364712,7.197918562736637,7.2371671447960235,7.2767293722144695,7.3210108895732064,7.310648844312536,7.336460319807729,7.298000538750038,7.279313526283823,7.303777346458373,7.289417630719803,7.309944849974623,7.285609577246581,7.235592898296004,7.2348315142218125,7.229495264695873,7.215098261754352,7.211279609291982,7.178578742969464,7.195772271545212,7.158124682407021,7.131457462805319,7.187013869856482,7.105069863940868,7.08184878603329,7.099206081402377,7.147333835318292,7.164563137280419,7.163569232296914,7.167532846369502,7.195251702794136,7.094689283565145,7.160538489993234,7.1928854881593365,7.1903393507192765,7.251986619091204,7.235679570965132,7.200964517335774,7.240081039220469,7.176072845757213,7.0975343949086565,7.02741794352178,6.883034565666667,6.8951239235,7.022247847
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15075,DCLK1,DCAMKL1,23.012995884190335,6.344379742388661,6.466043410113406,6.4113157514881784,6.499542066517942,6.468920476038717,6.477951240477023,6.459895649848875,6.4845257291934155,6.515281656394555,6.548486146403522,6.606594960690024,6.637192763106647,6.672183044824259,6.690168970944866,6.724515765071657,6.6859506009945955,6.654126698318773,6.683537034383184,6.690800995340449,6.723875987029181,6.6910856290603675,6.664070968861865,6.680672435386706,6.658448159899597,6.636605481620272,6.6230166522219625,6.606443046748701,6.6224851908544204,6.5588695184885974,6.5834745655949405,6.608298175470883,6.5028122289013774,6.512521382658586,6.540743331309053,6.554226282746372,6.594565270676726,6.654828918775356,6.6581444546724065,6.669050258317234,6.618162472268464,6.684781435519885,6.717578974063208,6.706218462614409,6.69944030887585,6.6852855184850135,6.59036608329564,6.651066349095028,6.558613990610866,6.4052946387330385,6.30652728281795,6.0103574496666665,6.218695362,6.403390724
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15197,EPHB6,EPHB6,23.15908635842274,6.514825699470583,6.644875051289907,6.610251150334808,6.702456173341504,6.737200176879085,6.752238645564066,6.751644233767557,6.780060434501634,6.827986690603105,6.866134908934993,6.905164580703307,6.930967650745336,6.983247844813804,7.001195490934149,7.039000170188871,7.00595946414121,6.979936217226108,6.994740648260166,6.991023925226535,7.014158406528076,6.985975706725896,6.927022583448171,6.9125684688560725,6.898498431151275,6.892420787397871,6.9025044975086205,6.887960997416347,6.906820755009283,6.882797745209655,6.8843493649400465,6.922460922039063,6.864463509404475,6.854572486042783,6.901950780455432,6.921664457321508,6.957965127172702,6.970452808359331,6.954943436936594,6.963930752732367,6.952675362641822,7.019451236691192,7.059643756665459,7.067311825453227,7.13374300799855,7.088556831708957,7.0813015606725775,7.14637119474868,7.080992810540127,7.028667322648152,6.744541550799847,6.582853745666666,6.5741981185,6.602396237
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O94804,STK10,LOK,23.295387076451235,6.637212667144861,6.768838749776512,6.736660137027031,6.831393339767572,6.868768714048543,6.866968972132888,6.86820752473146,6.8940268491821435,6.944485457211577,6.965912195239112,7.007450290952722,7.042539926441012,7.096225562414453,7.098211001474814,7.113634865615194,7.094530677868225,7.074075334026826,7.095471787749793,7.08420838795294,7.101706485501878,7.065396303244359,7.005751294098076,6.968545341698611,6.945039686421898,6.919844061815757,6.961746549671481,6.967561014474129,6.977293591953903,6.98608493563206,6.978855042399875,7.020586638156911,6.9824558217094985,6.973184075124236,7.017090632072666,7.058081163655438,7.075317339414074,7.069750410791372,7.0571750966177405,7.092111236392256,7.025985273420274,7.065054963683372,7.087993593156987,7.067479056171258,7.131901128488384,7.07788571858168,7.03047875840439,7.07697267122899,7.009545383100488,6.917586679720586,6.8683787205917355,6.738983896,6.686508981499999,6.943017963
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P04629,NTRK1,TRKA,23.414916920485652,6.869630651400683,6.970561387572492,6.976171328505286,7.029319579822904,6.989101612064188,7.010582136836358,6.991859850386067,7.032645877568373,7.066905735988474,7.101922841624575,7.153733490183121,7.175246557347939,7.215814968477736,7.23838716268968,7.268879705322749,7.263219844936505,7.238006813718573,7.267930933544089,7.245703072591219,7.268202587480808,7.24926702952568,7.2152340633995395,7.21638835612954,7.211521411333858,7.218391932414336,7.197329781013746,7.171662143273514,7.185689787245573,7.138388218735396,7.172710974512033,7.225569955836314,7.151613362919783,7.129319296473659,7.170645892372313,7.205244311286645,7.266356439691458,7.286546058026251,7.313836028147324,7.360623563357145,7.347810316311227,7.442093186796706,7.503754389779765,7.49211191612338,7.503803107735718,7.466924928003824,7.459922131504301,7.543864108484131,7.563070209898154,7.580526771877784,7.53744995403855,7.576473543333333,7.574828077499999,7.356656155
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P07332,FES,FES,23.157210157064736,6.597584498609654,6.7235440557935755,6.720049147083646,6.814450130025318,6.798418500025836,6.819892841130541,6.83245208243119,6.86312055378839,6.892542171275911,6.928130409736728,6.968989539154686,6.981805766115196,7.024717676121071,7.049576843024098,7.092884351819587,7.0623285452885245,7.036167424890917,7.070863920026776,7.084364452607724,7.115507936730549,7.097264560570869,7.060244661005824,7.0752238883074785,7.066593167917728,7.045216528535581,7.078701633458343,7.060487042104948,7.093682812955138,7.038421205473344,7.070670862088677,7.120217642758385,7.041590444701948,6.985387668277452,7.030972723752746,7.070684150687101,7.115000659058607,7.1753049705914655,7.210307118922093,7.263453160183565,7.182257782625249,7.287455523596422,7.346907998896123,7.362855180613953,7.3410806986753485,7.286668754466632,7.256831673774961,7.407898106335603,7.361916407391536,7.313384318869844,7.397769371787925,7.366078847,7.5639855205,7.073971041
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P08922,ROS1,ROS1,23.6249707236025,7.006341323101323,7.137951825306792,7.139782959136337,7.2425786183190635,7.265896549305166,7.290307805228191,7.296626218105386,7.339495853281591,7.268754011237174,7.311912434197111,7.352666769400228,7.379826449334174,7.3031666372379265,7.361555590668875,7.403043092993718,7.375940305967236,7.362692868290676,7.392930336854305,7.352962181971529,7.3940648346032605,7.377546723530632,7.329486562617229,7.34082086502363,7.344391137191085,7.341502374335605,7.327013479521227,7.305559571355347,7.342414862561322,7.307820537063774,7.349615418478191,7.412949183273388,7.339191214331269,7.236295557870854,7.269563157146566,7.328771888312175,7.366742632107296,7.448792875525371,7.457089428990514,7.513604230923215,7.42736012941773,7.527774973988325,7.596955739237352,7.603425115531656,7.594890127084822,7.582391032650951,7.56962159923232,7.714423286224986,7.754232300595817,7.78906719071498,7.7351976944562875,7.7884999483333335,7.892547497500001,7.267094995
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P15735,PHKG2,PHKG2,23.074220745064476,6.444552227523749,6.566362789716405,6.492254197357903,6.523500038637216,6.4974490190175676,6.5076415047262675,6.5090331112098045,6.534575113627409,6.565383592631499,6.599426398964034,6.646591566973299,6.674820861134143,6.715049723234734,6.671342316315602,6.69532948596472,6.654325419805897,6.620443566287137,6.65054917646178,6.5736140419353255,6.6081651832713275,6.570344355491671,6.541782596647996,6.526906407202708,6.502291854109465,6.463611313216688,6.444436488650784,6.422984714156369,6.427874153162383,6.467656451288878,6.455000669215305,6.475716821824889,6.509396209180566,6.5077347191415456,6.548490629618467,6.562750832493123,6.604718434298296,6.622189158021725,6.651438413339892,6.6537296942292175,6.568646364031305,6.617748803572175,6.6245138898698555,6.617942879858024,6.691117167843827,6.664557324678328,6.579100040263119,6.643791558854074,6.61004865199642,6.5126119223957035,6.460658557988845,6.283174899333333,6.4876026865,6.877205373
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P16591,FER,FER,23.166780738715865,6.661872752546372,6.788254771600721,6.765103845553677,6.86642652237803,6.904516859569418,6.9264270336646145,6.920663715231947,6.953231752519598,6.982372822745469,7.018371883830593,7.063493978777076,7.072858049861541,7.113748278069815,7.1697119175215605,7.21574046668878,7.1907594789700635,7.171916410834119,7.212093130579512,7.200053748911708,7.2236272052781585,7.205286347862345,7.1649995187412,7.17271429897537,7.158714918941215,7.145400322352982,7.183562546591636,7.164845603872808,7.19572991171407,7.150885108182632,7.1828647208343375,7.231800817464667,7.160798218258516,7.0979083210269165,7.144547528232647,7.193666478981734,7.247361711147385,7.303830899391349,7.315977990785889,7.3757035235049475,7.283476588898159,7.394277326505709,7.457084627381185,7.460672002597656,7.421446702857422,7.360955858461738,7.324713090769455,7.44506476300473,7.457135773505518,7.446209258206622,7.48161230102165,7.464146710333333,7.5600248155,6.994049631
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P29376,LTK,LTK,23.495060050882667,6.795008831129605,6.925031429530507,6.9255533595213015,7.024064426711727,7.03680043542013,7.058124455116382,7.030709975438008,7.063648779251878,7.09243797343683,7.126639568151303,7.158317417841794,7.214142760056627,7.244035884413756,7.2942147140241005,7.3323184246401025,7.308186093709579,7.2750360421882165,7.316377193360111,7.308133742429782,7.361277219788377,7.3501587719031765,7.308421209991282,7.2841481706560876,7.28041184301129,7.259267956563403,7.243941598204932,7.2165875833236335,7.25253306729762,7.234891449989524,7.271615513868273,7.31933586638623,7.2746791330401495,7.213062128144871,7.245066411113069,7.294024052224284,7.325456471792299,7.401492409603612,7.439062927062334,7.499204322199823,7.409814294428382,7.543000063230566,7.624101145833112,7.637341095454305,7.625988538299735,7.560090807357126,7.5429574832767665,7.70883133470738,7.71854530715861,7.727483878590332,7.570784463383445,7.584351933333334,7.7838686500000005,7.5657373
