Compound_SMILES,Compound_InchiKeys,Compound_Name,UniProt_Id,Entrez_Gene_Symbol,DiscoveRx_Gene_Symbol,spearman_mean_ensemble_1,spearman_mean_ensemble_2,spearman_mean_ensemble_3,spearman_mean_ensemble_4,spearman_mean_ensemble_5,spearman_mean_ensemble_6,spearman_mean_ensemble_7,spearman_mean_ensemble_8,spearman_mean_ensemble_9,spearman_mean_ensemble_10,spearman_mean_ensemble_11,spearman_mean_ensemble_12,spearman_mean_ensemble_13,spearman_mean_ensemble_14,spearman_mean_ensemble_15,spearman_mean_ensemble_16,spearman_mean_ensemble_17,spearman_mean_ensemble_18,spearman_mean_ensemble_19,spearman_mean_ensemble_20,spearman_mean_ensemble_21,spearman_mean_ensemble_22,spearman_mean_ensemble_23,spearman_mean_ensemble_24,spearman_mean_ensemble_25,spearman_mean_ensemble_26,spearman_mean_ensemble_27,spearman_mean_ensemble_28,spearman_mean_ensemble_29,spearman_mean_ensemble_30,spearman_mean_ensemble_31,spearman_mean_ensemble_32,spearman_mean_ensemble_33,spearman_mean_ensemble_34,spearman_mean_ensemble_35,spearman_mean_ensemble_36,spearman_mean_ensemble_37,spearman_mean_ensemble_38,spearman_mean_ensemble_39,spearman_mean_ensemble_40,spearman_mean_ensemble_41,spearman_mean_ensemble_42,spearman_mean_ensemble_43,spearman_mean_ensemble_44,spearman_mean_ensemble_45,spearman_mean_ensemble_46,spearman_mean_ensemble_47,spearman_mean_ensemble_48,spearman_mean_ensemble_49,spearman_mean_ensemble_50,spearman_mean_ensemble_51,spearman_mean_ensemble_52,spearman_mean_ensemble_53,spearman_mean_ensemble_54
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O00444,PLK4,PLK4,7.37800020045616,7.20012402372808,7.056082682485386,7.013395251789922,7.114798620209918,7.190459700174932,7.25241262872137,7.203218031381199,7.082876250116621,7.125928625104959,7.1345617500954175,7.15657744193962,7.267850375021188,7.229768410994785,7.3387026502618,7.441895109620437,7.526850885740708,7.484935531644002,7.468963110083791,7.407447434579602,7.367753112313907,7.421183925390547,7.465474232982262,7.381962271629097,7.370689837049353,7.366401605031914,7.405119434475177,7.349710172552083,7.496160304533046,7.4903556454053,7.500549572886044,7.503429664358355,7.512360218555006,7.453241614687837,7.432621768553899,7.433738559694099,7.410975143920094,7.426197376974828,7.461370059616499,7.416394872526086,7.415871070757158,7.370498653219678,7.328755744847623,7.15676331779077,7.137813050728753,7.137590201799867,7.107200887123274,7.102752070724873,7.086712681526406,7.068674003035878,7.079092159839096,6.990676657921462,7.23384702286634,23.936334127939908
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15075,DCLK1,DCAMKL1,6.80036406239339,6.601877393196695,6.412584928797797,6.3373415839373575,6.519944853537716,6.65415583628143,6.732959359669797,6.590549642836073,6.458256682520953,6.556895114268858,6.582863249335325,6.603194097090164,6.6630621867755355,6.6119922026950855,6.764058655848746,6.8993668023582,6.937966093714332,6.902035253674646,6.831932516797034,6.777941688457182,6.77775398900684,6.785828871324711,6.818496846484506,6.751167445076175,6.74519196105003,6.72227786664779,6.730529278994169,6.704886502546101,6.858923933492787,6.864196225868792,6.850167263772344,6.832940786779458,6.806741017117547,6.756557722647682,6.740351710572034,6.75081257971955,6.71879740940074,6.748919451258615,6.7858700294314716,6.742580381095684,6.757332096190912,6.692867216093127,6.660974658955888,6.5099949853592065,6.484231630129002,6.4696197033870675,6.440279305336278,6.45874356980844,6.452915792873573,6.449548822096102,6.479949825584414,6.393796944323175,6.624545417071794,23.287973305638594
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15197,EPHB6,EPHB6,8.16517041004137,7.383783323520685,7.104522215680457,6.978179978217843,7.0427564974382415,7.092733789531868,7.156434891027316,7.086901154648901,6.984116526354579,7.000364773719121,6.998085703381019,7.043280110983007,7.0492975035227765,6.96770529597042,7.043751876239059,7.115917633974118,7.219244576188177,7.181349932899945,7.158419649431527,7.104728116959951,7.07131249234281,7.129581515418137,7.156709579965174,7.05799166804738,7.064416111370411,7.076365496925519,7.1190889970393885,7.079399516847364,7.2402817748871096,7.219274945867435,7.216228204208397,7.211726541576884,7.2006305515800175,7.12482903270812,7.104051268916459,7.097542433141556,7.073404842001896,7.096968388265004,7.127675532155644,7.078220270951753,7.084475132635856,7.039317606213515,7.010994769765249,6.846023511472078,6.816707722328253,6.806814337060248,6.771858639697264,6.772031918036904,6.7618647768524776,6.757175299715428,6.722720882073949,6.63189932664945,6.79061022614663,23.429763764234416
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O94804,STK10,LOK,7.11441851623599,7.028718239617994,6.829145493078663,6.7894491417824225,6.912165883792174,7.005028053160145,7.073100674137267,7.044454805495109,6.935069049328986,6.987276284396087,7.0169469403600795,7.0670380134674655,7.140179298431507,7.065527415411802,7.113656561051015,7.160269563485327,7.266961741864158,7.240452278982816,7.236741902510036,7.2008087723845335,7.16378256098527,7.220927171849576,7.278444555682204,7.176902234675858,7.180664362791603,7.218297880318136,7.2510327366026495,7.2070325795807,7.359799352698606,7.306025187670502,7.311949884217894,7.307737778461084,7.303248826786642,7.2244294344652005,7.20986042205191,7.209178162382831,7.189721268028945,7.207133297817657,7.223350238899256,7.192809207526775,7.204538617099292,7.156329937633926,7.118594022815569,6.952095439803829,6.941975103363744,6.936969216334097,6.910926431646137,6.908797901820177,6.8878394752524175,6.874848096387369,6.838086369007224,6.745046246526317,6.921626392818273,23.574533881278843
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P04629,NTRK1,TRKA,7.75283404323472,7.55474509911736,7.634163399411573,7.419299084939242,7.429093300546284,7.436875650455237,7.435697343247345,7.4537057347164275,7.281044208636825,7.305234517773142,7.334924252521038,7.376656125254516,7.389221732696476,7.311619278825341,7.404752326903651,7.495243743972173,7.544836579359821,7.4980211444509415,7.467763869900892,7.4004823264058475,7.399278406100807,7.453917933096225,7.465679705570302,7.384273955380967,7.362899258609291,7.355843555923147,7.390004239037104,7.338823887787692,7.490868064070875,7.501443534322874,7.519006841825186,7.522156276714661,7.485564937423189,7.426899858342033,7.409186816675117,7.4103052504640505,7.385181313055433,7.406521331132922,7.408506794437206,7.361447951776276,7.3614710919768545,7.302247136301385,7.277780567300439,7.149222653736034,7.124777216986344,7.108444094877946,7.0645079564124575,7.081716740653865,7.059152490844602,7.0482349596877105,7.0865048624389315,7.033278975904037,7.1202260706983,23.66087168387035
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P07332,FES,FES,6.97584410719752,7.02490757409876,7.367938382732507,7.065850827047935,7.162918431433106,7.2365281678609215,7.300422472452219,7.259152850895691,7.119459378573947,7.160049980716553,7.161089891560502,7.216898083643277,7.307920419209179,7.21976085774935,7.320044533899393,7.415667750530681,7.4666226679496,7.417033954174622,7.347180975691748,7.27055628440716,7.285320270863962,7.3266991676428725,7.339345886441008,7.251140535167396,7.225705737652757,7.201482002152826,7.2255801279990175,7.179348512952102,7.340969253884788,7.299858065111903,7.27722862042099,7.306747999458345,7.275162588768861,7.2241033293006565,7.194768862749209,7.19735657382144,7.16568439594604,7.188437175000092,7.215759426923166,7.168531933225087,7.17257128851228,7.124919301756382,7.108774853036775,6.948295595582433,6.9130131156806005,6.897006678383197,6.857669547077171,6.84458494192973,6.834349453318919,6.823191576492541,6.838423114208373,6.745376515858212,6.861309128766548,23.416050997774278
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P08922,ROS1,ROS1,8.00454517574975,7.635820085374874,7.929880056916583,7.57852743369927,7.5764625627100894,7.577061777258408,7.562562837650064,7.564793089193806,7.411956079283383,7.439215121355045,7.447085801231859,7.468777149211675,7.565103649426162,7.494092215349765,7.588461034326447,7.678908750931044,7.751647758097424,7.693089871036456,7.602500324876643,7.52847366613281,7.536107062983629,7.584070923757101,7.598860474898096,7.720694569497354,7.704508707520784,7.676570802924554,7.707037662075496,7.64224841800811,7.786427817387141,7.785119937778842,7.817593996487636,7.8701691840973975,7.822732038613166,7.902148118221024,7.85772451484328,7.854464912196935,7.8031407792319545,7.804797482410061,7.820903931579034,7.759625918314558,7.746798766648349,7.694719653643937,7.660236875935347,7.489835928946293,7.451029419414152,7.391180310296454,7.342327749226317,7.3350572211174345,7.305328449257895,7.282113825572737,7.258935123110527,7.157801755358402,7.277631439219563,23.891236948681517
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P15735,PHKG2,PHKG2,6.72042538002314,6.79881537651157,6.565210251007713,6.448403248338432,6.5639302364817,6.65281391373475,6.680447497486928,6.579681475926062,6.436040311934278,6.52725784074085,6.542670309764409,6.5749607636451515,6.672648113903217,6.60264585645321,6.535187486022996,6.485161411896558,6.543935484049071,6.54352616649079,6.531115111991275,6.501075088891711,6.47179532275401,6.535133417174283,6.59885335555801,6.53329436220184,6.518130630631008,6.536777316739504,6.580690405008411,6.559184646229356,6.731849175669723,6.7408044165161325,6.824755205818441,6.815990590011615,6.814639215194737,6.765626107643226,6.75220419885342,6.7520563207020166,6.71548385896713,6.746864652152206,6.7854959174816365,6.742546022394595,6.755297168189849,6.703297811198796,6.674406262385286,6.525224369910749,6.507682555023843,6.543153803827672,6.512574540363254,6.511109154105686,6.500031436674957,6.495581743441459,6.52115857200143,6.490558640489715,6.733405118971041,23.357724508892375
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P16591,FER,FER,7.30459708694651,7.149323358973255,7.474882239315503,7.2193929540079775,7.275943878437668,7.3152479570313895,7.3234466345983344,7.317064617773543,7.166092960243149,7.214573464218834,7.233032558380758,7.29410187038391,7.399700234815917,7.311516230679945,7.409139015301281,7.495683951844951,7.554435771132836,7.503666545847678,7.439651754539906,7.35982251681291,7.383303587440867,7.424347833466282,7.44133140592427,7.356124209565855,7.346258338666369,7.3300884537746605,7.355199511042265,7.308847189159926,7.469879389533721,7.423445344671619,7.43022038158391,7.463072434038229,7.430354311932274,7.3777522319447195,7.348726556746299,7.356350460702329,7.330464130209087,7.345134889940427,7.366157533788108,7.3169639488184055,7.323689113481372,7.270223225092096,7.2562692662115715,7.093399686564039,7.055204104640394,7.015943189322125,6.978344911251441,6.982906538100369,6.962523363853423,6.947498645856355,6.909312397898387,6.809113505714495,6.987059326361392,23.48594533894172
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P29376,LTK,LTK,8.35428153941788,7.96000941970894,7.97400627980596,7.561928860859615,7.5737298815428264,7.590416976285688,7.599007051102019,7.5472959822142665,7.4030180953015705,7.432432025771413,7.436616541610376,7.501820839541446,7.597885752730566,7.52467794673416,7.569285016951883,7.61506620339239,7.678048235727179,7.616478171075669,7.533129084650634,7.4403925954181025,7.45517707501724,7.497441844334638,7.5055375206679145,7.44232865153235,7.416650070681618,7.4414283537085675,7.489953303571213,7.442956664370644,7.5942519862888975,7.597390453099288,7.597632631254847,7.6279764938981645,7.5893564158072975,7.535791081252054,7.499968621787709,7.504347122670382,7.4502095115776035,7.47874973495714,7.498508639189009,7.450735118359283,7.44940592035052,7.409288922995988,7.3489252979221,7.1826732164757505,7.152128700554067,7.106685946194196,7.062820045892192,7.089565565769438,7.067929105243531,7.05286794773866,7.040066615430059,6.9431422574410195,7.0692683469232644,23.76424068675422
